id,title,genre,description
1,Inception,Sci-Fi,A thief who enters dreams to steal secrets is offered a chance to erase his criminal past
2,Interstellar,Sci-Fi,A team travels through a wormhole near Saturn in search of a new home for humanity
3,The Dark Knight,Action,Batman faces the Joker a criminal mastermind who plunges Gotham into anarchy
4,The Matrix,Sci-Fi,A hacker discovers reality is a simulation and joins a rebellion against machine overlords
5,Memento,Thriller,A man with short-term memory loss uses notes and tattoos to hunt his wife killer
6,Shutter Island,Thriller,A US marshal investigates a disappearance at a hospital for the criminally insane
7,Parasite,Drama,A poor Korean family schemes to become employed by a wealthy family
8,The Prestige,Thriller,Two rival magicians engage in a bitter battle for supremacy
9,Arrival,Sci-Fi,A linguist works with the military to communicate with alien lifeforms after they land on earth
10,Ex Machina,Sci-Fi,A programmer is selected to evaluate an AI robot with human consciousness
11,Whiplash,Drama,A young drummer enrolls at a cut-throat music conservatory where his teacher pushes him to extremes
12,Good Will Hunting,Drama,A janitor at MIT has a gift for mathematics and a psychologist helps him find direction
13,Fight Club,Thriller,An insomniac office worker and a soap salesman form an underground fight club
14,Pulp Fiction,Crime,The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales
15,No Country for Old Men,Crime,A hunter stumbles upon drug money and a ruthless killer pursues him across Texas
16,Zodiac,Crime,A cartoonist becomes obsessed with tracking down the Zodiac Killer terrorizing California
17,Gone Girl,Thriller,A man becomes the suspect in the disappearance of his wife on their anniversary
18,Black Swan,Drama,A ballerina wins the lead role in Swan Lake but is haunted by a dark presence
19,A Beautiful Mind,Drama,The story of genius mathematician John Nash who struggles with paranoid schizophrenia
20,2001 A Space Odyssey,Sci-Fi,A voyage to Jupiter with the AI HAL 9000 descends into a psychological thriller
